,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
Acp36DE,0.101226465,0.076222881,0.179894179,0.087967264,1.633403686,0.190939109
Acp53C14a,0.179875411,0.139299616,0.194594574,0.142474489,1.818783959,0.233305925
Acp53C14b,0.105148066,0.120207081,0.117540368,0.096364688,1.760602657,0.219021006
Acp53C14c,0.005749001,0.020268064,0.020670505,0.012573366,0.702893282,0.030447657
Acp53Ea,0.143594542,0.080200803,0.120629302,0.091551388,1.421850108,0.141629315
Acp54A1,0.006265582,0.007664071,0.005528081,0.004867424,0.013824946,0.005765509
Acp62F,0.06915822,0.137683475,0.082506726,0.063444554,1.712046742,0.18172434
Acp63F,0.049502884,0.023558125,0.083877055,0.035974196,1.230781249,0.04761639
Acp76A,0.01219015,0.020699577,0.027003265,0.023816964,0.653464509,0.030441411
Acp95EF,0.079600633,0.115536716,0.084258096,0.051203747,1.688744493,0.110050094
Acp98AB,0.014233628,0.070876966,0.106883346,0.063731702,1.666836474,0.102858083
Act57B,0.004634179,0.721012672,0.011417497,0.088264665,0.014731798,0.008899554
Act87E,0.001220877,0.276643018,0.008128887,0.03028201,0.002745408,0.000935943
Actbeta,0.034268422,0.108377818,0.003926842,0.004939176,0.010516328,0.006275325
AdamTS-A,0.820289621,0.493629356,0.185465925,0.289494832,0.085413204,0.082520798
Adk1,0.567578956,0.549406638,0.091111851,0.614844658,0.343216866,0.053404918
AdoR,0.03205294,0.260625642,0.244257318,0.00300231,0.011550491,0.027779104
Ae2,0.569159982,0.949500042,1.119391235,0.296624912,0.336845926,0.730918514
Ag5r,0.340245859,0.636212403,1.008214839,0.310947615,0.311792838,0.261156912
Ag5r2,0.116728466,0.070908362,0.087738191,0.112169478,0.095305797,0.436689648
AkhR,0.119841507,0,0,0.032998369,0.003767711,0.005931401
Alk,0.017873121,0.360217974,0.004324131,0.063500698,0.0728773,0.021049084
Alp5,0.038775774,0.035590232,0.028564325,0.051795602,0.022107619,0.175673779
Alp9,0.052519322,0.017713058,0.019945471,0.010674031,0.008557157,0.049354089
Amy-d,2.017716123,0.56090027,3.348114608,0.535644039,1.355061942,1.796450715
Amy-p,2.017019647,0.628398464,3.50312729,0.600121741,1.24787638,1.727214985
Ance,0.965197273,0.558494833,0.591477773,0.141199336,0.382199396,0.726740484
Ance-3,0,0.002298973,0.018029922,0,0,0.005986013
Ank2,0.275254182,0.236828047,0.061714987,0.012611914,0.092144738,0.147037136
Anp,0.012805776,0.004418081,0.004593267,0.006484934,0.012935002,0.000914698
Antp,0.009040948,0.026038077,0.004600775,0.011320498,0.003955134,0.006235964
Apoltp,0.224533439,0.044002319,0.015634369,0.032428713,0,0.011235082
Appl,0.216904932,0.346634575,0.112010511,0.040081839,0.141259954,0.092874969
Arc1,1.940983109,1.860647164,2.503649766,0.845048614,1.304650111,2.003460352
Asator,0.154204248,0.615555683,0.20123375,0.190804724,0.158437445,0.248124539
Asph,0.051127166,0.408172873,0.075110571,0.084819263,0.029924448,0.11562893
AstA,0.002047976,0.147701409,0.006493843,0.003516944,0.00678303,0.002649051
AstA-R1,0.63454937,0.340815155,0.236017711,0.140700251,0.456539208,1.236015886
AstA-R2,0.013430012,0.07106027,0.007331356,0.014147582,0.00158002,0.002076106
AstC,0.008560134,0.186312565,0.002912204,0.002948063,0.011552362,0.015232876
AstC-R1,0,0.077911218,0.003613646,0.064110872,0,0
AstC-R2,0,0.040798733,0.000986926,0.001679132,0,0
Atpalpha,4.828803225,3.069274427,3.687416399,3.603492304,3.114670416,3.368623048
AttA,0.008553978,0.013166207,0.008459745,0.008299648,0.015056543,0.006163363
AttB,0.060667168,0.045491571,0.029609978,0.036684693,0.025455261,0.031570452
AttD,0.054671803,0.072927934,0.202122442,0.040930353,0.039598756,0.050310122
Awh,0.097585486,0.010126612,0,0.202111026,0.287037894,0.002983581
BG642163,0.022733464,0.027203927,0.031655221,0.016101174,0.885737439,0.005370074
BG642167,0.021791228,0.019392561,0.035173593,0.013694043,1.288628122,0.024963598
BG642312,0.870774378,0.365085736,2.037622753,0.249106538,2.28736922,0.750417242
Bace,0.521996923,0.135297815,0.177825173,0.182559697,0.314487503,0.431251976
Baldspot,2.352380972,1.132588031,1.740445632,4.2205802,2.745456932,2.656790086
Bap111,0.051436789,0.03922849,0.020547989,0.033170703,0.083203092,0.081673027
Bdbt,0.030524854,0.010689578,0.022674826,0.022243732,0.052829038,0.062716349
Bgb,0.041176213,0.004498456,0.014500173,0.021192018,0.01444629,0.043974758
BomBc2,0.219886397,0.000929028,0.003362299,0.026060238,0.010793411,0.012617222
BomS3,0.088968624,0,0.007426455,0.012156972,0.018397192,0.006577907
BomT3,0.213989993,0,0.002881761,0.018359593,0,0.014354953
Buffy,0.972497813,0.251412613,0.381845685,1.278103298,1.294767112,0.61070365
Bx,2.31140742,0.276892311,0.253706122,0.678408646,0.87748234,0.244417517
CAH1,2.840192139,0.204007529,1.036293487,0.846882103,0.870875956,0.940025135
CAH7,0.197161607,0.063512961,0.030838176,0.01867832,0.069051665,0.061428375
CAH9,0.500410686,0.033245317,0.573355998,0.071528814,0.064297819,0.005718391
CARPB,0.236123539,0.131291388,0.082704011,0.122287785,0.260068556,0.383965002
CBP,0.013766753,0,0.003386058,0.005880737,0.001471841,0.001875676
CCAP-R,0.021346405,1.328749937,0,0.00423333,0.02433279,0
CCHa1,0.026631041,0.223902296,0.011834277,0.05206667,0.03426047,0.00790217
CCHa1-R,0.025728788,0.532222237,0,0.004467954,0.022227663,0.004635296
CCHa2,0.072703028,0.186520411,0.012181171,0.02249065,0.050549613,0.027315381
CCHa2-R,0.000662431,0.0648724,0.003774771,0.001824721,0.000662431,0
CG10005,0.0628574,0,0.020805083,0,0.021205059,0.050510986
CG10011,1.392620167,0.812682354,0.891258294,1.563396926,1.312262389,1.507642535
CG10019,0.038720181,0.163130397,0.004586932,0.207644829,0.240217876,0.023723629
CG10026,0.343881748,0.177753064,0.089816351,0.617269428,0.391911513,0.011305737
CG10051,0,0.01498687,0.011069063,0.002824286,0.005967083,0.015167723
CG10062,0.033717633,0.027675197,0.22486041,0.085664024,0.048219839,0.037629695
CG10132,0.005134768,0.105186809,0,0.008894664,0.151375085,0.000864022
CG10140,0.059428871,0.017132953,0.071268402,0.031110314,0.019827893,0.043651559
CG10175,0.160704374,0.090869291,0.102228936,0.085979769,0.074237767,0.184311382
CG10182,0.060293993,0.012046103,0.064988729,0.008352259,0.03293956,0.062154497
CG10211,0.016953602,0,0.032703397,0.061531953,0.059880512,0.009918654
CG10226,0.013291961,0.058776753,0.056541249,0.060748089,0.002324568,0.001266885
CG10237,0.727934097,0.13299215,0.30845557,1.861210794,1.096377205,0.105661549
CG10283,0.194681176,0.064777199,0.120582866,0.268530697,0.294691805,0.772670917
CG10345,0.240371441,0.033563354,0.24857657,0.699543274,0.393569652,0.051574012
CG10359,0.048911873,0.047704961,0.04492328,0.032063665,0.020453863,0.015638601
CG10405,0.112141958,0.069561608,0.291318672,0.016224856,0.021059605,0.069967135
CG10407,0.060794737,0.038221473,0.057554953,0.017464108,0.034286533,0.100236109
CG10433,0.147091032,0.199862585,0.101280365,0.506790075,0.284977773,0.089810116
CG10472,0.816871754,0.478801094,0.470126078,0.577736375,0.783001394,1.616036153
CG10477,0.243311232,0.099907647,0.061163885,0.078652456,0.111604445,0.739510957
CG10479,0.014760863,0.064069913,0.009434942,0.005114767,0.09564405,0.492334399
CG10483,0,0.047813294,0,0.003855808,0.00521576,0
CG10495,0.012041527,0.004154889,0.030319063,0.008205716,0.010596096,0.027970779
CG10550,0.455689368,0.105036316,0.273291913,0.535182563,0.290526809,0.103337793
CG10553,0.018408893,0.028014121,0.033257647,0.032217091,0.006804102,0.004917796
CG10621,0.983814511,0.110604228,0.289656614,0.106695397,0.29725161,0.478875024
CG10657,0.210287514,0.016241776,0.256054802,0.130311145,0.077201937,0.068491828
CG10663,0.08262198,0.196166671,0.061577813,0.053781192,0.137280452,0.642770692
CG10680,0.128042204,0.00277776,0,0.108831945,0.045388848,0.018970355
CG10710,0,0.052999878,0,0.00441542,0.001847129,0
CG10725,0.011931807,0.010243884,0.008449362,0.002814889,0.000756306,0.000920452
CG10738,0.053841932,0.041093099,0.016050712,0.024466724,0.03466455,0.038696397
CG10799,0.031229214,0.030923578,0.028360443,0.006507265,0.026790172,0.066705109
CG10910,1.435392778,0.130476513,1.36827417,0.096189764,0.605991355,0.819589057
CG10911,2.374592205,0.411530027,0.829136042,0.141666053,1.063827447,1.965190594
CG10912,2.053785931,0.428639085,1.223994579,0.221007782,1.015407383,1.947416305
CG10936,0.008731065,0.008109354,0.00737376,0.027434609,0.032463605,0.000923138
CG10947,0.121437282,0.639775772,0.57447974,0.203402007,0.095723743,0.164848994
CG10960,0.64169705,0.324248114,0.189162914,0.317288877,0.244846555,0.421039651
CG11029,0.049951249,0.024435574,0.010104272,0.27607425,0.126864908,0.017677186
CG11035,0.090352618,0.036573907,0.041512549,0.048551083,0.046039567,0.033556079
CG11037,0.004096849,0.037303551,0.055449704,0.008660503,1.067644528,0.007545682
CG11044,0,0.112016853,0,0.006527746,0.004769913,0
CG11073,0.065110563,0.006869112,0.040996993,0.254370366,0.137202403,0.021916778
CG11147,0.718488772,0.070355962,0.285561071,1.386563942,0.612124621,0.047250794
CG11155,0.553156348,1.211722283,0.389400969,0.406289605,0.429551584,0.423791944
CG11192,0.042742653,0.008361643,0.156599618,0.008345319,0.030801709,0.041080029
CG1124,0.123481125,0.145692913,0.067973238,1.320983505,0.748081144,0.13474113
CG11319,0.178894059,0.780558867,0.005735995,0.034161388,0.016380649,0.045944576
CG11353,0.425357776,0.069217439,0.055756675,0.16044516,0.116677196,0.033841378
CG1136,0.069761839,0.008395787,0.005077437,0.51814454,0.241992773,0.034357661
CG11425,0.071756175,0.006524544,0.040583393,0.021989916,0.031494918,0.019638032
CG1143,1.729751561,0.064219306,0.203661429,0.238302383,0.246139535,0.101244501
CG11438,0.011417224,0.004159144,0.001421148,0.039778274,0.041342715,0.005954457
CG11529,0.009390485,0.006434501,0.015417744,0.198673318,0.078299873,0.004413303
CG11608,0,0.003917429,0.011690228,0.005248937,0.312348762,0.001949055
CG11617,0.004558735,0.040655341,0.003603141,0.0113314,0.0029467,0.000517168
CG11672,0.405446857,2.052453133,0.084576871,0.087488746,0.063414349,0.207551035
CG11700,0.016282981,0.014954873,0.006494405,0.085920254,0.056516882,0.002379442
CG11825,0.193914838,0.063669587,0.073443663,0.086007173,0.112448556,0.111297122
CG11841,0.04063887,0,0,0.053506276,0.017689724,0.000804559
CG11852,0,0.003620698,0.007781144,0.036364837,0.011639904,0
CG11854,0.021243282,0.008964323,0.002283413,1.05394272,0.499184736,0.00478676
CG11878,1.69632034,0.187816678,0.737234447,0.175181987,0.499110034,0.910942701
CG11882,0.025843687,0.007775877,0.012353766,0.009695613,0.029401211,0.039704551
CG11883,1.360966384,1.023193873,0.841568014,0.48981135,0.474371451,0.454016883
CG11912,0.039478401,0.003739369,0.005839399,0.005417743,0.017280726,0.151115572
CG12057,0.123547422,0.088117922,0.0997959,0.098705938,0.161583528,0.236728971
CG12061,0.043231019,0.012335778,0.021024119,0.015357581,0.027834886,0.019246727
CG12071,0.198795141,0.174492379,0.205544532,0.039771771,0.095157919,0.116618843
CG12105,0.004207034,0.229343689,0.010493079,0.014050849,0.004553086,0.020283546
CG1213,1.280472158,0.100349705,0.39028975,0.682924584,0.718078517,0.744542188
CG12158,0.003815299,0.0717546,0,0.002662664,0,0
CG12173,0.104639528,0.027368091,0.093785898,0.069894366,0.057677144,0.083970838
CG12268,0.522229063,0.025851336,0.212696671,0.114052198,0.097360957,0.008726402
CG12290,1.124741224,0.131574419,0.693498478,1.296980147,1.07427237,1.89930369
CG12310,0.000674858,0.011434424,0.008932414,0.004342378,0.002135176,0
CG12374,0.741365227,0.117062371,0.434497213,0.192669774,0.292928886,0.386332263
CG12512,0.105575539,0.026293792,0.08224262,0.154434956,0.094145229,0.023814933
CG12541,0.053430676,0.201322795,0.039054607,0.11431217,0.034816281,0.032989651
CG12659,0.041700151,0.013224809,0.014543433,0.009457393,0.059502904,0.034694863
CG12702,0.00208716,0.000986215,0.00431944,0.009543753,0.003847549,0.00494898
CG1273,0.003065133,0.013430561,0,0,0.003936967,0.006901762
CG12769,0.154756728,0.262337983,0.122170077,0.10992489,0.121813988,0.082065432
CG12826,0.070672035,0.003648087,0.036016043,0.009293357,0.006388613,0.008956368
CG12828,0.008745272,0.011508822,0.009116243,0.007382871,0.525547706,0.027659643
CG12880,0.022102352,0.001015841,0.018161785,0.007656837,0.036509026,0.005494608
CG12896,0.38622437,0.102909508,0.133706255,0.236044709,0.213172525,0.149478682
CG12934,0.024968336,0.033025091,0.034597639,0.006177261,0.01430341,0.023161203
CG12970,0.057900634,0.028325981,0.031651897,0.006381378,0.018128448,0.078603372
CG13003,0.104207012,0.068646862,0.082550855,0.296249087,0.089968453,0.012474687
CG13012,0.227083554,0.248305411,0.033567772,0.066759735,0.102964755,0.061656356
CG13024,0.225728676,0.061566205,0.367130341,1.271470288,0.624044668,0.15044459
CG13038,0,0,0.070367757,0.002475927,0.002690311,0.003567614
CG13059,0,0,0,0.055886808,0.025015942,0
CG13075,0.01613878,0.060935138,0.017959286,0.063202871,0.004839925,0.028313101
CG13114,0.003753732,0.021094587,0.022462115,0.004505659,0.001233026,0.001024577
CG13116,0.027809679,0.002377267,0.027531708,0.107877846,0.043879015,0
CG13177,0.438718931,0.015445672,0,0.076897523,0.039511854,0.011577607
CG13215,0.413240878,0.013662467,0.007571545,0.064860107,0.046703233,0
CG13229,0.018708994,0.420325981,0.006535367,0.019008209,0.016175232,0.003400973
CG13251,0.000729599,0,0,0.021347086,0.005992238,0
CG13272,0.003279706,0.005948037,0.009284195,0.003772725,0,0
CG13284,0.465454902,0.947909474,0.194727188,1.287908514,0.885233389,0.300342207
CG13285,0.007389122,0.032742814,0.40879373,0.093918419,0.048973637,0.054477717
CG13299,0.058157493,0.011947216,0.22757325,0.00532161,0.031868391,0.015630851
CG13300,0.214822642,0.118977906,0.180076712,0.057414112,0.456180814,1.863925291
CG13315,1.910816581,0.784987234,1.103023915,0.334587663,0.908240171,1.484352467
CG13323,2.190461226,1.059012965,3.295060144,0.331245489,1.189195676,1.90603621
CG13324,1.222246544,0.471415944,2.033141488,0.264254011,0.564116477,0.860341946
CG13325,0.499957298,0.043875134,0.084726165,0.012906293,0.147062492,0.263417143
CG13337,0.039152021,0.0343185,0.008446992,0.063996675,0.039656744,0.040848584
CG13360,0.739386728,0.309457162,0.168683418,0.039512664,0.210459492,0.239442101
CG13377,0.027177139,0.023445799,0.057013689,0.238563021,0.229239792,0.029612088
CG13405,0.02609908,0.004624933,0.006684556,0.003088873,0.016520268,0.04658095
CG13482,2.492725552,1.56816485,2.403743463,0.216046259,1.022484687,2.178767867
CG13488,0.065737648,0.026846008,0.028371303,0.019604362,0.192379165,1.297027575
CG13492,1.413819993,0.225906337,0.283365322,0.04132193,0.506095426,1.063362141
CG13606,0.387951798,0.010972233,0.075316719,0.143641653,0.085863406,0.038200535
CG13618,0.113871364,0.039353652,0.163984103,0.736583962,0.394970025,0.065360134
CG13630,0.033944812,0.008254483,0.025227577,0.0190625,0.026519919,0.046252169
CG13643,0.002734621,0,0.042402013,0.002104024,0.005960728,0.024164946
CG13676,0.02514499,0.012869447,0.004054816,0.216055974,0.105653461,0.009162193
CG13685,0.002364217,0.011418508,0,0.02852277,0.02719113,0.076305641
CG13739,0.008786766,0.396080591,0,0.016977013,0.015926807,0.000549173
CG13748,0.028008234,0.013283599,0.010587407,0.229172969,0.170093044,0.005756027
CG13795,0.081344822,0.022175359,0.015093152,0.011814245,0.005362101,0.015764161
CG13806,0.087223049,0.245737791,0.139170044,0.032897,0.013185097,0.032630284
CG13871,0.022403872,0.051110653,0.050434408,0.064323074,0.001573926,0.005825424
CG13928,0.000883393,0.076170868,0.006354997,0,0,0.001853956
CG13947,0.00874082,0.013686049,0.003004059,0.012451708,0.020534453,0.017467032
CG13954,0.434203564,1.640866335,0.202815534,0.130650664,0.275363905,0.286046078
CG14022,0.002293011,0.00951885,0.003185958,0.002721192,0.284814595,0
CG14034,0.004223203,0.026251863,0.006520985,0.001423435,0.846922284,0.006447332
CG14082,0.780301562,0.353783804,0.309588426,0.144613178,0.369665905,0.068038594
CG14102,0.032181071,0.026772727,0.027928982,0.016643016,0.007485483,0.001621871
CG14104,0.022939605,0.018291994,0.006278345,0.016650249,0.009712209,0.008659192
CG14120,0.200704396,0.012181356,0.029070952,0.007970415,0.065746675,0.401524373
CG14125,0.398773415,0.646996123,1.281566654,0.340701841,0.496320294,0.512292111
CG14132,0,0,0,0.023326958,0.010866454,0
CG14195,0,0.099464138,0,0.029413738,0.002225906,0.010665812
CG14205,0.267318982,0.016238951,0.047068635,0.015268103,0.069072787,0.13280708
CG14210,0.064755406,0.021582316,0.039409737,0.048588156,0.102275687,0.216412584
CG14219,0.095435107,0.009084634,0.010386865,0.017402197,0.019418086,0.087595111
CG14221,0.018470053,0.001756865,0.033528819,0,0.006098365,0.024888308
CG14245,0.006449618,0.011582366,0.000879791,0.032029759,0.003584456,0
CG14247,0.014509983,0.055487877,0.006884096,0.000484909,0,0.007294019
CG14253,0.213479249,0.363023133,0.036162344,0.29013202,0.208858015,0.100944977
CG14257,0.21004281,0.015336817,0.009993,0.14980719,0.071835242,0.017542899
CG14259,0.001814191,0,0,0.033526811,0.014475445,0
CG14273,0.054973754,0.010410533,0.007714519,0.007634517,0.001374781,0.007882834
CG14275,1.345601348,0.034899298,0.04633415,0.345576995,0.188716345,0
CG14292,0.025714733,0.068885109,0.002238069,0.035022809,0.021410269,0.035439497
CG14300,0.008786766,0.02176603,0,0.001098346,0.00382962,0.008208413
CG14301,0.021474685,0.001704579,0.018908792,0.043103466,0.01337912,0.006255387
CG14327,0.01026127,0,0,0.123840366,0.068962159,0.001249618
CG14356,0.017763838,0.0112398,0.027202588,0.528819958,0.292285968,0.030162949
CG14401,0.106303426,0.134180682,0.025428847,0.078446709,0.196646638,0.016037605
CG1441,0,0.007174487,0.010347035,0.080282365,0.048295681,0
CG14419,0.012742383,0,0.012721314,0.008206707,0.005377127,0
CG14439,0.066695184,0.341785428,0.290282009,0.405184115,0.174182386,0.015136492
CG14457,0.351315948,0.177826991,0.174895915,0.028724081,0.298147306,1.316500638
CG14499,0.36506252,0.067680226,0.153170489,0.049683595,0.130158805,0.817552317
CG14500,0.146554119,0.024578214,0.103085606,0.046175441,0.098702528,0.284105868
CG14518,0.025003096,0.004764475,0.003679083,0.205114154,0.138413788,0
CG14567,0.008786766,0,0.003432054,0.017604407,0.015038192,0.010593632
CG14606,0.013777814,0.056404755,0.001632668,0.067680516,0.022728859,0.018382837
CG14626,0,0.005361671,0.043039708,0.004603493,0.012927453,0.044129666
CG14655,0.002955386,0.045000541,0.00136681,0.00355739,0.010160426,0.001543212
CG14661,0.233051338,0.020066992,0.107531223,0.159029141,0.111394324,0.012440943
CG14687,0.134341128,0.306904217,0,0.045974624,0.010384856,0
CG14742,0,0.053600557,0,0.014150411,0,0
CG14762,0.124152873,0.017471825,0,0.012937514,0,0.007856027
CG14778,0.045101205,0.027420108,0.03868266,0.041593003,0.024241978,0.045839432
CG14823,0.178959885,0.004609539,0.094107772,0.025359861,0,0.010628106
CG14880,0.022807753,0.016478574,0.016197166,0.17156936,0.096637235,0.046007244
CG14881,0.006622131,0.006387194,0.018289462,0.002680349,0.004041007,0.022422715
CG14921,0.003668351,0.009569807,0.001986407,0.001996262,0.020035918,0.046206746
CG14949,1.429944272,0.111284805,0.066227355,0.192171785,0.171166397,0.00653329
CG14957,0.020270272,0.005749801,0.02007598,0.004225802,0.004536639,0.017725132
CG14964,0.012638087,0.054910019,0.000650905,0.00304981,0.003274813,0.001658704
CG14989,0.008182694,0.195164703,0.010043912,0.001787212,0.007838462,0.003658637
CG15014,0.021954358,0.041877554,0.029555426,0.050725115,0.053769809,0.022327033
CG15021,0.003815299,0.010346264,0.021355486,0.278094434,0.108357335,0.069544789
CG15043,1.390597542,0.455491883,2.429641766,0.113489115,0.715833699,1.207584075
CG15044,0.401317787,0.090736604,1.092038607,0.019142595,0.130884336,0.393328538
CG15046,0.024300103,0,0.030123124,0.013533634,0.013668244,0.001038978
CG15096,0.689562378,0.031912236,0.228567451,0.121927146,0.365984004,0.273071801
CG15116,0.003735471,0.025090704,0.014885743,0.013481922,0.782684963,0.000817604
CG15120,0.012872944,0.006239532,0,0.10030648,0.046781145,0.004574393
CG15153,0.02086364,0.14350789,0.01399686,0.00612864,0.004636038,0.002941627
CG15155,0.027983555,0.058579731,0.00768911,0.196873157,0.088462893,0.014964805
CG15186,0.026675408,0.607986894,0.02715391,0.357061209,0.247717434,0.059962472
CG15199,0.320762563,0.054352204,0.126733465,0.042601517,0.235865445,0.173928877
CG15201,0.129339645,0.008235064,0.018300371,0.280698308,0.167509852,0.033029298
CG15213,0.060423944,0.021303164,0.014478438,0.419454836,0.18574806,0.065654955
CG15221,0.002419859,0.036840334,0.009008368,0.034284882,0.003279237,0.000510087
CG15239,0.029341407,0.007512711,0.043349362,0.045865111,0.020276737,0.022195059
CG15247,0.032586734,0.125745191,0.017528474,0.048397764,0.010916594,0.010710695
CG15263,0.446570133,0.020681522,0.083391669,0.026197748,0.187471944,0.192236029
CG15279,0.076058749,0.133735504,0.040150573,0.521540269,0.171947951,0.03967482
CG15282,0.011386823,0,0,0.001897804,0.012185023,0
CG15365,0.921581643,0.828269889,0.824927708,0.834437271,0.598091811,0.637750463
CG15394,0.024890896,0.011408327,0.015855186,0.030491605,0.031248034,0.00501571
CG15406,0.096882398,0.05481867,0.048895976,0.046286329,0.040376046,0.11090687
CG15412,0.008881901,0.027834253,0,0.166793796,0.086456823,0
CG15423,0.434408655,0.094188382,0.164845397,0.062651963,0.127379958,0.404997687
CG15431,0.866468417,0.396024935,0.175050537,0.18112649,0.693075787,0.514635943
CG15497,0,0.002177861,0.013113813,0.025413012,0.007858523,0.001460069
CG15528,0.000729599,0.026170749,0.011929305,0.03222019,0.007791673,0
CG15529,0.092051722,0.03411022,0.06341957,0.075393512,0.124839875,0.613307598
CG15533,0.040799169,0.018592397,0.008382491,0.011148832,0.047419185,0.04378936
CG15534,0.056252747,0.001472694,0.006838326,0.010637002,0.036950602,0.039829447
CG15539,0.001412858,0.017056114,0.003112357,0,0.824127077,0
CG15544,0.029183588,0.010647973,0.012872385,0.080906838,0.058839977,0.038729868
CG15628,0.013378681,0.003616086,0.016413796,0.00337329,0.016344614,0.029763538
CG15635,0,0.014642834,0.008478099,0.016894319,0.738124603,0
CG15638,0.039039675,0.005836776,0.024980047,0.028100164,0.022202091,0.028490257
CG15641,0.021050246,0.021254417,0.007211555,0.011718354,0.927191514,0.036595368
CG15649,0.020109057,0.010641484,0.033097411,0.461447715,0.227828441,0.024554071
CG15784,1.188562812,0.444481478,1.100970083,0.278155952,0.674070035,1.280963609
CG15803,0.061425074,0.900001854,0.034071936,0.060637197,0.070652066,0.011682015
CG15818,0.176409756,0.024304564,0.1858915,0.042320998,0.119166558,0.175984907
CG15870,1.326143647,0.048738602,0.03105784,0.190878927,0.190981241,0.025693008
CG15894,0.001406854,0.049751857,0.011997495,0.04169893,0.029090516,0
CG1632,0.044424146,0.000778875,0.018302451,0.004658986,0.005875995,0.000491511
CG16704,0.087690889,0.000929028,0.004611169,0.012051297,0.004949807,0.007969893
CG16713,1.643119691,0.049497562,0.138364924,0.335447121,0.233537941,0.044256435
CG1674,0.059440063,1.448640565,0.001487638,0.310617051,0.059475157,0.039922962
CG16772,0.035521761,0.001778695,0.009097399,0.023770209,0.020148547,0.019276131
CG16775,0.586150688,0.217939157,0.344984906,0.125614334,0.333294207,0.674057864
CG16779,0.037890148,0.64757153,0.020049672,0.034916276,0.02718355,0.011432807
CG16798,0.023695124,0.017660783,0.044355956,0.006755259,0.002537865,0.010431753
CG16820,0.078455009,0.005828547,0.063814126,0.163736638,0.085915408,0.009585073
CG16824,0.082726819,0.051819308,0.014681745,0.012811839,0.025512702,0.035341331
CG16826,0.027777815,0.073371994,0.009148614,0.051333139,0.060821598,0.001752149
CG16926,0.122193258,0.007470676,0.007471179,0.075086517,0.032810649,0.010213354
CG1695,0.018329453,0.123565521,0.073588034,0.004803105,0.022700611,0.007990559
CG16995,0.028698328,0.021863261,0.095764856,0.031349147,0.030933066,0.054564993
CG1701,0,0.021582348,0,0.004963328,0.472760808,0.0129299
CG17047,0.032271672,0.02825303,0.023922799,0.005760014,0.008860454,0.034799736
CG17097,0.030094803,0.059185117,0.044450061,0.047157828,1.746715537,0.08933379
CG17108,0.228938567,0.003597931,0.037876308,0.024273674,0.008475219,0.012395152
CG17124,0.340919688,0.547875171,0.341971857,0.834174364,0.430800534,0.150744232
CG17129,0.046208129,0.010876191,0.011394078,0.027077841,0.015563362,0.039532384
CG17167,0.812204975,0.149600156,0.231325668,0.361904369,0.394571003,0.55237937
CG17192,0.341688351,0.042076249,0.154092239,0.045760973,0.13198395,0.207016494
CG17242,0.002524342,0.002598604,0.00135721,0.002317388,0.020532736,0.040516493
CG17321,0.029059145,0.161544297,0.022587765,0.009395638,0.020811005,0.019287903
CG17350,0,0,0,0.036975158,0.010665984,0
CG17472,0.027322791,0.022472602,0.008248223,0.004737004,0.924407903,0.032093112
CG17475,0.008774313,0.006698632,0.004653805,0.00973907,0.02332966,0.002718011
CG17549,0.403752353,0.281652529,0.364617573,0.982118681,0.430944251,0.087833881
